Version,1,Type,TMR,Energy,6X-FFF,
ConeID,5mm CC,7.5mm CC,10mm CC,12.5mm CC,15mm CC,17.5mm CC
Depth,Value,,,,,
19.3,0.3565,0.3703,0.3793,0.3852,0.3906,0.3934
19.4,0.3546,0.3682,0.3769,0.3827,0.3877,0.3926
19.5,0.3511,0.3666,0.3753,0.3800,0.3854,0.3906
19.6,0.3483,0.3650,0.3735,0.3778,0.3838,0.3872
19.7,0.3471,0.3626,0.3705,0.3758,0.3815,0.3849
19.8,0.3459,0.3605,0.3690,0.3748,0.3801,0.3838
19.9,0.3438,0.3592,0.3680,0.3744,0.3788,0.3822
20.0,0.3419,0.3581,0.3663,0.3726,0.3763,0.3804
20.1,0.3394,0.3561,0.3642,0.3703,0.3752,0.3792
20.2,0.3379,0.3545,0.3622,0.3688,0.3743,0.3779
20.3,0.3364,0.3523,0.3608,0.3672,0.3716,0.3754
20.4,0.3349,0.3509,0.3592,0.3644,0.3695,0.3729
20.5,0.3329,0.3497,0.3575,0.3620,0.3672,0.3710
20.6,0.3304,0.3473,0.3561,0.3607,0.3654,0.3694
20.7,0.3290,0.3461,0.3550,0.3586,0.3636,0.3678
20.8,0.3284,0.3449,0.3537,0.3567,0.3605,0.3660
20.9,0.3265,0.3427,0.3514,0.3547,0.3581,0.3639
21.0,0.3250,0.3400,0.3496,0.3534,0.3567,0.3622
21.1,0.3227,0.3376,0.3476,0.3522,0.3563,0.3602
21.2,0.3202,0.3365,0.3451,0.3508,0.3545,0.3579
21.3,0.3192,0.3340,0.3431,0.3489,0.3520,0.3559
21.4,0.3165,0.3319,0.3412,0.3457,0.3496,0.3541
21.5,0.3155,0.3313,0.3390,0.3429,0.3484,0.3523
21.6,0.3138,0.3296,0.3374,0.3418,0.3486,0.3512
21.7,0.3123,0.3273,0.3362,0.3402,0.3466,0.3495
21.8,0.3109,0.3260,0.3345,0.3390,0.3446,0.3467
21.9,0.3086,0.3240,0.3325,0.3382,0.3423,0.3444
22.0,0.3070,0.3213,0.3308,0.3361,0.3396,0.3435
22.1,0.3044,0.3196,0.3293,0.3336,0.3366,0.3418
22.2,0.3034,0.3187,0.3278,0.3312,0.3356,0.3401
22.3,0.3024,0.3181,0.3273,0.3309,0.3344,0.3381
22.4,0.3021,0.3156,0.3245,0.3296,0.3342,0.3361
22.5,0.2986,0.3136,0.3225,0.3275,0.3329,0.3350
22.6,0.2968,0.3131,0.3211,0.3259,0.3305,0.3339
22.7,0.2959,0.3106,0.3190,0.3238,0.3301,0.3323
22.8,0.2937,0.3091,0.3172,0.3222,0.3279,0.3303
22.9,0.2918,0.3082,0.3163,0.3209,0.3252,0.3274
23.0,0.2905,0.3067,0.3152,0.3199,0.3237,0.3253
23.1,0.2900,0.3047,0.3131,0.3180,0.3221,0.3249
23.2,0.2884,0.3026,0.3120,0.3174,0.3216,0.3236
23.3,0.2864,0.3007,0.3102,0.3149,0.3195,0.3206
23.4,0.2849,0.2993,0.3086,0.3138,0.3171,0.3187
23.5,0.2833,0.2978,0.3079,0.3122,0.3160,0.3175
23.6,0.2829,0.2965,0.3065,0.3112,0.3157,0.3175
23.7,0.2810,0.2952,0.3041,0.3085,0.3132,0.3161
23.8,0.2777,0.2933,0.3021,0.3068,0.3113,0.3145
23.9,0.2758,0.2927,0.3014,0.3058,0.3094,0.3127
24.0,0.2747,0.2914,0.2997,0.3039,0.3092,0.3115
24.1,0.2732,0.2894,0.2982,0.3024,0.3075,0.3097
24.2,0.2718,0.2885,0.2967,0.3016,0.3059,0.3088
24.3,0.2694,0.2868,0.2956,0.3004,0.3042,0.3066
24.4,0.2696,0.2857,0.2939,0.2980,0.3022,0.3048
24.5,0.2690,0.2844,0.2928,0.2972,0.2997,0.3038
24.6,0.2672,0.2829,0.2911,0.2950,0.2987,0.3024
24.7,0.2660,0.2810,0.2902,0.2945,0.2979,0.3011
24.8,0.2647,0.2800,0.2894,0.2943,0.2966,0.2997
24.9,0.2638,0.2779,0.2871,0.2927,0.2954,0.2983
25.0,0.2620,0.2762,0.2846,0.2905,0.2942,0.2967
